post_id,text,label,rationale_mask
12744613_gab,otoh you might just be retarded and failing at trolling along with the rest of your life,offensive,"[0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
1179097718989475843_twitter,ugh time to be a pumpkin slut,normal,"[0, 0, 0, 0, 0, 0, 0]"
1178909126790918155_twitter,<user> we dont have the ability to process refugees because of the flood of illegal immigrants,normal,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1154520_gab,<user> cue sjw whining but but but but it not violence when we do it we are good just ask us,offensive,"[0, 0, 1, 1, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0]"
1139354806265569281_twitter,whoever the other announcer is for this finals game is making no sense he really said the warriors had no business being in the series,normal,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1123614321572028417_twitter,aw the short dykes are getting noticed today thats cute,normal,"[0, 0, 1, 1, 0, 0, 0, 0, 0, 0]"
1179095915111550981_twitter,you kno i love a slut,normal,"[0, 0, 0, 0, 0, 0]"
1468527_gab,call i wanted to overhear today hill this is barry look i told <number> million illegal immigrants i would not prosecute them for voting you still could not pull it off oh hey could u send me the name of that guy who set up your foundation thanks hillary trump presidenttrump speakfreely,normal,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1178598739893727232_twitter,it very telling that his mentions are full of white and mostly middle aged people telling him how right he is and how much they can relate the lack of self awareness will always astound me,normal,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
8619849_gab,the communists insist shitskin foreign invaders are real americans they can label it any way they want so long as we hurry up and get to the civil war and ethnic cleansing two of my favorite american traditions welcome to the continent,hatespeech,"[0, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0]"
1103849821599948801_twitter,starting to get tired of niggas,normal,"[0, 0, 0, 0, 0, 0]"
1178646433957695489_twitter,crowdsourcing hi may alam ba kayong filipino film about domestic violence pls help me huhu thank u,normal,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1179092454492049408_twitter,for the queer readers you deserve every adventure nina varela baby i already love u so much,normal,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1122691302037045258_twitter,thoen deadass charged como que le iba hace algo al tipo but a for effort my guy 👌 🏼,normal,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
17566705_gab,if men are only good for the money then women are only good for popping out babies the next society will remember this,offensive,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0]"
1179103596425732096_twitter,bitch ass facebook blocked me from using it cuz i called a homie faggot 🙄,normal,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
14319689_gab,this whole world has went to shit with all this marxist bs twitter shadowbanned me last yr and i am off for the next day because i called michelle aka michael obama a ghetto bitch,hatespeech,"[0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
1263136019597135873_twitter,let make one thing clear you niggas did not have money before the pandemic that why all these hoes was gay 🤫,normal,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0]"
1178711410706173952_twitter,<user> <user> <user> <user> <user> i agree with khaleel the only criticism i have is that out of white asian black the white grouping can be somewhat substantiated the other groups are barely internally related wrt blacks take nilosaharans and bantu and asians take malays and han chinese,normal,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1081775644252487680_twitter,hurley so rose husband is white did not see that one coming,normal,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
17760180_gab,lol a white knight defending a shitskin thot patrol,offensive,"[0, 0, 0, 0, 0, 0, 1, 1, 1]"
1179058382004576258_twitter,<user> chinaman satanist lee hsien loong criminals audible talks in <number> wellington circle singapore are always negative that they screenshot and put his profile on facebook <date> lee hsien loong disloyal to his criminals and lawyers,normal,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
17178016_gab,jews have a tendency to out themselves knowingly or not especially to the erudite goyim listed above however they should absolutely wear the yellow star both as a badge of shame and as a warning to whites who are not as adroit at identifying kikenvermin from their words,hatespeech,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]"
16401578_gab,i was put in twitter jail for <number> hours for telling the truth about the rapes in sweden being committed by moslem immigrants i pointed out that it was civilization jihad all true i found gab this evening suggested by another tweeter,normal,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1092284552595279872_twitter,im tough im ambitious and i know exactly what i want if that makes me a bitch okay madonna quote,normal,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
16736512_gab,you do not have to win over nigger and mexican and other third world voters when you have the military and law enforcement and the media the media actually being the easiest to get because you just fucking take it once you have the military just as you take the government,hatespeech,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10660581_gab,fox news online is stating that white supremacists caused violence in charlottesville implying that president trump has decried white nationalism,normal,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
3246451_gab,<user> blacks muzzys wetbacks first,hatespeech,"[0, 1, 1, 1, 1]"
1176246016825339907_twitter,<user> so you are basically aiding and abetting an illegal alien who is currently breaking the laws of this country is that how it works,normal,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
25903878_gab,then quit talking like a kike yenta ya fat pig the world is chock full of pieces of shit white race traitors like you cunt,hatespeech,"[0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 1]"
11786604_gab,islam is mostly known for tolerance i know cause the lolbertarians told me yay freedoms,normal,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1178677355583299584_twitter,<user> <user> also lol at they are the white fascists can you guys accomplish anything without projection last i checked the people disparaging immigrants chanting jews will not replace us etc were not from anti fascist groups,normal,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1104904416430194688_twitter,all of my exes were cute but they were hoes i guess i only attract fly looking thots 😴,offensive,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0]"
9156031_gab,why arabs lose wars,normal,"[0, 0, 0, 0]"
1178958645138264071_twitter,percentage manufacturing crime sends them to the rightabout the devil on moneylenders gave reuben j a great strawcalling now he really what they call a dirty jew power those judges have crusty old topers,normal,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
15644350_gab,sexual harassment is a two way street actually grabbing a man dick is a more severe act of harassment than talking about grabbing a women pussy resign from the view joy,offensive,"[0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0]"
6881962_gab,what a <number> year old black man doing with a <number> year old white woman anyway,hatespeech,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0]"
1178388175758221314_twitter,got a lot of them niggers you better and it active yeah popping willies on the wall i am saying,normal,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
13879478_gab,america always was a country for by and of genetic europeans a white man born in china is not a chinaman just as a mexican anchor baby born in america is not american,offensive,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
21078066_gab,<user> march is national stop blaming white people month accept responsibility for your own choices hug a white person luvhonkies,normal,"[0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0]"
1249052188506124288_twitter,“ this is the hardest thing i ’ ve ever done ” a white girl on the bachelor after the pandemic,normal,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1251576073197887489_twitter,<user> you are retarded get back inside,offensive,"[0, 1, 1, 1, 0, 0, 0]"
1086658262899011585_twitter,<user> she a radical islamic terrorist nuff said,hatespeech,"[0, 0, 0, 1, 1, 1, 0, 0]"
12672128_gab,the federal naturalization act signed into law on <date> <number> by president washington stated that immigrants to the united states had to be white according to the definition under the british common law which the united states inherited gabfam,normal,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
24996887_gab,it one of the bits of ghetto slang that has entered internet slang through the medium of irony og original gangster just read it as original,normal,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
3878555_gab,white nations for white people want a future deport jews with the arabs,hatespeech,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1]"
4552326_gab,when everybody in europe sees trump has put in a muslim ban every single one of them will ask why can not we do that,offensive,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1]"
12170080_gab,he is one obnoxious greasy nasty lying self serving horrible little muslim bastard,offensive,"[0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
1179087582438801408_twitter,<user> issue is the young guys ain t playing which is retarded houston has not done shit hunt bigg ass can go stewart needs to sit down mohammed playing way to much and doing nothing,offensive,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
19286919_gab,through out the ghetto was there nary a word except brothers in green who through the streets could be heard demanding where my five dollah,offensive,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
9555286_gab,crazy oh no she is black that ishwat they do <number> of times everyday ghetto lotto you can not win if you do not play,offensive,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
14066054_gab,upon successfully destroying europe and establishing berlin seat of european communist aka jew control while occupying israhell jews position themselves for complete takeover of us,hatespeech,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
16188142_gab,lol at <user> thinks he a dothead kike lol,hatespeech,"[0, 0, 0, 0, 0, 0, 1, 1, 0]"
20794495_gab,before <number> <number> they were hanging out in strip clubs and drinking i guess it the muzzie version of a bachelor party,hatespeech,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]"
1178863636791615488_twitter,yesterday in burleson tx someone called me a nigger the old me would have shot em but the new me is to focused to let some white man make me mad or take away my freedom,normal,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1179103747751993345_twitter,<user> <user> <user> prime raped dich,normal,"[0, 0, 0, 0, 0, 0]"
1079397452887834624_twitter,<user> <user> not bad idea but they are retardet,offensive,"[0, 0, 0, 0, 0, 0, 0, 0, 1]"
6563191_gab,now that article <number> has been triggered let us take a moment to think about the people that made it happen dirty stinking paki bastards,hatespeech,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1]"
1233548077958598656_twitter,not at my mom saying how gay ppl are an abomination and looking straight at me,normal,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1179062432829980673_twitter,<user> perhaps they could learn how arabs enslaved the africans,normal,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1178862532087439360_twitter,<user> <user> he an asshole he blocked me once for simply congratulating him on his promotion to top ranking white house nazi after bannon got canned,normal,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1603288_gab,<user> i do not understand how so large a part of the human race got so retarded so fast it truly boggles the mind,normal,"[0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0]"
1179072630718115843_twitter,the white bitch got found guilty yes lord,offensive,"[0, 1, 1, 0, 0, 0, 0, 0]"
1178935230297600001_twitter,i will never forget how one of my coworkers looked me dead in my face and asked me do you wash your hair just because my hair is in braids does not mean i do not wash it you small dick white bitch,offensive,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1]"
6175208_gab,ricky vaughn uses his anonymity to say the words nigger and faggot without repercussions and so many people on gab love it lol,hatespeech,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1179094712516521985_twitter,<user> <user> place stop lying islam does not promote peace be honest about religion,normal,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
26816150_gab,israel home of the jewish people arabs jordan u may know that israel was promised to the jewish people well b4 ur saviour came or any arab knew where israel was clue it is in the chumash pots melamed and ps u can call me sir,normal,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1267564223162454016_twitter,im watching arabs inside the mind of an igl rn,normal,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
23781633_gab,nick fuentes is a filthy spic,hatespeech,"[0, 0, 0, 0, 1, 1]"
1179088613109305344_twitter,no aha youre so sexy please dont kill yourself,normal,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
20748901_gab,sounds like a kike to me,hatespeech,"[0, 0, 0, 1, 0, 0]"
1114575701305200640_twitter,<user> <user> i learn islamic education in schools and im still gay honey,normal,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1178701466401423360_twitter,<user> <user> <user> 🤭 nearly all her fans are white caucasians how uh ironic 😂,normal,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1098421662385614849_twitter,get this nigga zion some lugz those soles strong as shit,normal,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1178828752379400193_twitter,scrawny ass mf put a shirt on next time no one wants to see your ugly tiny white ass nips 🙅 🏻 ‍ ♀️,normal,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
19526192_gab,go sleep you old whore go get raped by a muslim you will enjoy it,hatespeech,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
18037598_gab,i am going to make four predictions for <number> things i am positive will happen prediction for <number> <number> <number> germany or sweden courts will establish precedence that women who become pregnant from rape by a migrant cannot abort the fetus without the father consent with threat of hate crime charges,hatespeech,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
1179099136349626368_twitter,dorothy a dirty slut,offensive,"[0, 0, 1, 1]"
20730385_gab,its a nigger problem not a gun problem florida was also a half jew half hispanic not white,hatespeech,"[0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
3483203_gab,obamanicknames <number> <number> dollar muslim pimp a hole musloid a token to make stupid white people feel less guilty a tr <user> gay husband americahaterinchief america hating globalist elitist piece of trash arrogant pompous narcissistic thug attention hound b hussein blunder barack arafat,normal,"[0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
1104599456941572097_twitter,so none of you all hoes want to get that waist snatched hurd it,offensive,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]"
1179020101355487232_twitter,<user> wow and if you took their masks off you would see how nerdy they all look there was a clip where they had their masks off i wish i could find it but they are nothing wussies hiding behind masks,normal,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1103830041249697792_twitter,slap the bitch in the fave with them hoes,offensive,"[0, 0, 1, 0, 0, 0, 0, 0, 1]"
1179057860723953664_twitter,tlou in general is a nice change of unrealism where the cishet white man saves the lesbian from death,normal,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1228049932654759936_twitter,i hate you ghetto hoes i hate oakland bro,offensive,"[1, 1, 1, 1, 1, 0, 1, 1, 0]"
1234661145614540802_twitter,<user> why do we call them immigrants they are illegal refugees,normal,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
16612870_gab,honesty is the best policy unless you have a muzzy go off the rails just does not jive with social justice warriors snowglobe,hatespeech,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
26084648_gab,i have been stoned and drunk enough to call white cops niggers but i have never been drunk enough to fuck a nigger,hatespeech,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1]"
1179003171877933057_twitter,that that panic energy i am shocked he did not call us niggers 😂,normal,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1178772468397416452_twitter,<user> wash ya face u stupid nigger,hatespeech,"[0, 0, 0, 0, 0, 1, 1]"
1186125821515325445_twitter,<number> years ago vladimir lenin publishes <number> essays stating that kylo ren is a punk bitch,normal,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
5410106_gab,<user> here is more · <user> mute me thanks nigger,hatespeech,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
1165990985500958721_twitter,<user> still retarded and annoying lol,offensive,"[0, 0, 1, 0, 1, 0]"
1178569618232709121_twitter,<user> <user> i was just thinking this must be the case you can probably make bank selling fake empowerment to women through self defence classes,normal,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
8391527_gab,ill honk as i drive through your ghetto cant stop i have white business to attend to,hatespeech,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
1179019613394198528_twitter,you women move too fast,normal,"[0, 0, 0, 0, 0]"
27110145_gab,shut up you dumb kike,hatespeech,"[0, 0, 0, 0, 1]"
1178600318482997248_twitter,<user> <user> you have completely halted trying to fight what we are saying because its true all you have left is these haha look at these guys replies left you stupid poor white trash wigger fuck,offensive,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1]"
1125356337666433029_twitter,<user> <user> yes they include unvaccinated illegal aliens,normal,"[0, 0, 0, 0, 0, 0, 0, 0]"
13740267_gab,you can say you want to kill the president on twitter but you can not call people cunts the absolute fucking state of gay social media kill jack dorsey how about that fucking nigger,hatespeech,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
1178174090739253249_twitter,<user> my ching chong dumb ass thought he was cutting dog meat,hatespeech,"[0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0]"
1179048964039069703_twitter,me being a faggot on campus,normal,"[0, 0, 0, 0, 0, 0]"
18628194_gab,the difference between hetero and homo couples part i,normal,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
26943747_gab,no he has two his dyke wife lost and pissed off the new leftist leader barack hussein obama,hatespeech,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
7093626_gab,aw what wrong nigger you do not like your sheboon exposed for the savage she is 🤣,hatespeech,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]"
